prediction,actual
"bangalore, india, june 4  the world's biggest computer services company could not have chosen a more appropriate setting to lay out its strategy for staying on top. the meetings are more than an exercise in public and investor relations. 's managing director for india, who presides over what is now the company's second-largest worldwide operation. 's work force in india has been remarkable. the country's largest multinational employer. ""now that companies such as infosys technologies and cognizant have clearly demonstrated that the services marketplace is not impregnable, the new battle is for talent,"" said n. lakshmi narayanan, president and chief executive of cognizant technology solutions of teaneck, n.j. in recent months, the technology hub of bangalore has become the center of i.b.m. said that it expected to invest more than $200 million a year in the new center. infosys technologies, with 52,700 employees, has $2.15 billion in annual revenues, a figure that is growing 30 percent annually. but the depth, breadth and geographic spread of i.b.m. manages a system it developed for a large american oil company, which it would not identify, that keeps track of consumption and oversees financial and administrative processes as well as the technical help desk, data network and servers. is also researching tools to track company assets and reduce costs.",india provides i.b.m. with its fastest-growing market and a crucial base for delivering services to much of the world.
"this story was reported by: nick charles, austin evans fenner and samson mulugeta it was written by: karen hunter

tuesday, october 17th 1995, 4:20am

as many black men marched on washington yesterday, some new yorkers spoke of their pride in the event and their disappointment in not being there, too. he makes his living selling incense and body oils in brooklyn. but my heart and soul is with them in washington."" ""louis farrakhan shouldn't be at the march because of the remarks he has made about jews and whites,"" agreed brooklyn construction worker cyril peter, 35. ""","as many black men marched on washington yesterday, some new yorkers spoke of their pride in the event and their disappointment in not being there, too. ""i felt like the only black person working,""said roderick vinson, 38, of harlem. ""that feeling made me sick to my stomach. i couldn't believe i missed one of the important events of my life.""winston ford, 50, had to work, too. he makes his living selling"
"tehran | mon jan 31, 2011 9:17am est

tehran (reuters) - an american woman who was freed after more than a year in an iranian jail on suspicion of spying has been summoned back to attend trial, the official irna news agency reported monday. shourd, who may opt to not return, a move which would delay any trial of bauer and fattal, said the trio were hiking in the mountains area of iraq near the iranian border and never intended to cross into iran. washington has headed a global campaign to tighten sanctions on tehran which it accuses of seeking nuclear weapons.","tehran (reuters) - an american woman who was freed after more than a year in an iranian jail on suspicion of spying has been summoned back to attend trial, the official irna news agency reported monday.sarah"
"by maggie fox, health and science editor

washington | fri aug 17, 2007 6:02pm edt

washington (reuters) - a vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, u.s. but that may not happen for a while, he said. ""the company currently is focused on its lead product, provenge, so moving forward with the neuvenge product is something that we haven't given guidance on,"" urdal said in a telephone interview. the delay in approval of provenge has angered some patient advocacy groups. urdal said both provenge and neuvenge make use of immune system cells called cd4 helper t-cells.","washington (reuters) - a vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, u.s. researchers reported on friday.dendreon"
"as the lights went down at the nearly sold-out house of blues on saturday, robert johnson's 1936 delta blues “cross roads” came up, and 19-year-old jake bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. from the opening dylan-esque word-spree “there's a beast and we all feed it,” the singer's evident absorption in the music captivated the notably diverse crowd, and he won cheers simply by wandering here or glancing there. of the strokes, preceded bugg with cliché-tinged songs and a smug indifference that showed why the claim was ever in doubt.","as the lights went down at the nearly sold-out house of blues on saturday, robert johnson's 1936 delta blues “cross roads” came up, and 19-year-old jake bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. with his fetching mop top and boyish charm, this jb comes off like the anti-pop justin beiber, reviving rock ’n’ roll as sincere but sexy folk music for the long-tailed digital age. to promote his second album, “shagri la,” bugg has performed in boston several times recently, at successively larger venues. at the 2,400-capacity house of blues, the bassist and drummer planted themselves at either end of the large stage and bugg took the center, clutching a classical acoustic guitar. from the opening dylan-esque word-spree “there's a beast and we all feed it,” the singer's evident absorption in the music captivated the notably diverse crowd, and he won cheers simply by wandering here or glancing there."
"the custody battle of robert de niro and estranged wife grace hightower is getting rough. the ""raging bull"" star is claiming that hightower flew into a jealous rage and pummeled him during a sailing trip with salsa star marc anthony, sources tell us. she told the captain she'd caught his wife with her husband. "" de niro has recounted the yacht story, and other claims about hightower's temper, in a emergency relief motion seeking overnight visits with elliott, say sources. "" the police said they soon discovered both women were wanted on warrants from other jurisdictions. seen on the seine sean (puffy) combs stepped out again with model emma hemming last weekend in paris. keeping an eye on them was naomi campbell, who some think has set her cap for the rapper. she arrived at the show hand in hand with kevin spacey. after cabaret, it was on to les bains douches and then to the eiffel tower, where british vogue cover boy combs sipped champagne with campbell, ledger, spacey, ricci and company as the sun rose. the ""gladiator"" is bringing his 30 odd foot of grunts band to irving plaza aug. 29 as part of the group's month-long tour ... now that they have to fly commercial, ex-presidents bill clinton and george bush are pining for air force one. ""","t he custody battle of robert de niro and estranged wife grace hightower
   is getting rough. the ""raging bull"" star is claiming that hightower flew
   into a jealous rage and pummeled him during a sailing trip with salsa star
   marc anthony, sources tell us.
   the astonishing spectacle occured in may, when de niro and hightower were on anthony's yacht in florida with their 3-year-old son,"
"nikki reed in twilight and ian somerhalder in the vampire diaries

by nate jones & alison schwartz

updated 08/01/2014 at 02:45 pm edt

the recent revelations that ian somerhalder of

has thrown us into a tizzy. it got us thinking, how would some of our other favorite couples fare if we swapped each member with their most famous character? their relationship would work if they could figure out how to kiss without their fangs getting in the way. the thrilling blush of true love doesn't really exist in the universe of

, but if anyone could get this small-town chief of police out of his existential funk, it's

a chatty new york waitress might be just the right match for a man whose estranged wife took a vow of silence.","we know these couples have sparks in real life, but would they still work on screen?"
"vivian boyack, 91, and alice “nonie” dubes, 90, have married after 72 years together. ( ap photo/the quad city times, thomas geyer)

two women in their 90s have married in a ceremony in the us after 72 years together. ap photo/the quad city times, thomas geyer)

the newlywed's friend jerry yeast has known the couple since he was an 18-year-old landscaper working in their yard.",two women in their 90&rsquo;s have married in a ceremony in the us after 72 years together.
"how does an android 2.1 qwerty slider with unlimited texts and internet for $25/month after taxes sound to you? if you pay the full price ($249) for a cheaper samsung intercept phone, you can jump on virgin mobile’s $25/month everything pre-paid with 300 anytime minutes. the plan comes with unlimited messaging, email & web. speaking to virgin representatives, i can verify this is the real deal. but it is a working android 2.1 phone with gps and most of the midrange features you’ll find from other carriers and manufacturers.","how does an android 2.1 qwerty slider with unlimited texts and internet for $25/month after taxes sound to you? virgin mobile offers the best smartphone plan i've ever seen...by a long shot.  if you pay the full price ($249) for a cheaper samsung intercept phone, you can jump on virgin mobile's $25/month everything pre-paid with…"
"david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). it also encompasses efforts in technology for microfinance, enabling the poor to transfer funds using mobile platforms.","david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). as the leader of gf's work in technology, he guides programmes that create innovative and sustainable approaches to employing technology for the benefit of the world's poor. this includes efforts to develop services that can be widely accessed on mobile phones, in domains such as health and agriculture, to improve lives and livelihoods. it also encompasses efforts in technology for microfinance, enabling the poor to transfer funds using mobile"
