prediction,actual
"bangalore, india, june 4  the world's biggest computer services company could not have chosen a more appropriate setting to lay out its strategy for staying on top. palmisano and other top executives will meet here with investment analysts and local customers to showcase i.b.m. in the last few years, even as the company has laid off thousands of workers in the united states and europe, the growth in i.b.m. some of the growth has been through acquisition. the company hopes to provide clients with access to the expertise of its 60,000 consultants worldwide in complex areas like supply chain management and compliance with banking rules. infosys technologies, with 52,700 employees, has $2.15 billion in annual revenues, a figure that is growing 30 percent annually. ""all this is done for one customer seamlessly from three of our centers in bangalore, chicago and outside of london,"" said amitabh ray, director of global delivery, i.b.m. infosys technologies, for instance, has a consulting unit with headquarters in fremont, calif., near silicon valley, where it now has 200 consultants, and an additional 1,800 consultants in india. 's chief executive in india, acknowledged that growth was difficult because thousands of recruits had to be quickly integrated into the company. salaries are rising, and employee costs are also moving up, he said. even so, the indian operation is becoming more and more strategic for the company. """,india provides i.b.m. with its fastest-growing market and a crucial base for delivering services to much of the world.
"this story was reported by: nick charles, austin evans fenner and samson mulugeta it was written by: karen hunter

tuesday, october 17th 1995, 4:20am

as many black men marched on washington yesterday, some new yorkers spoke of their pride in the event and their disappointment in not being there, too. ""i didn't have the finances to make the trip,"" he said. "" the calling of the march made me realize my responsibility,"" he said. charles williams, 45, an east elmhurst, queens, graphics worker, decided that the event was hollow. "" these are the brothers who could have used the march the most.""","as many black men marched on washington yesterday, some new yorkers spoke of their pride in the event and their disappointment in not being there, too. ""i felt like the only black person working,""said roderick vinson, 38, of harlem. ""that feeling made me sick to my stomach. i couldn't believe i missed one of the important events of my life.""winston ford, 50, had to work, too. he makes his living selling"
"tehran | mon jan 31, 2011 9:17am est

tehran (reuters) - an american woman who was freed after more than a year in an iranian jail on suspicion of spying has been summoned back to attend trial, the official irna news agency reported monday. shourd, who may opt to not return, a move which would delay any trial of bauer and fattal, said the trio were hiking in the mountains area of iraq near the iranian border and never intended to cross into iran. (reporting by hossein jaseb; writing by reza derakhshi; editing by matthew jones)","tehran (reuters) - an american woman who was freed after more than a year in an iranian jail on suspicion of spying has been summoned back to attend trial, the official irna news agency reported monday.sarah"
"by maggie fox, health and science editor

washington | fri aug 17, 2007 6:02pm edt

washington (reuters) - a vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, u.s. john park of the university of california, san francisco and colleagues tested it in 18 women with advanced her2/neu-positive breast cancer, whose cancer had spread despite treatment. food and drug administration accepted dendreon's marketing application for provenge on a ""fast-track"" basis, and in march an advisory panel said provenge appeared reasonably safe. so there is more than one target and more than one cancer that potentially will benefit from this form of therapy,"" he said.","washington (reuters) - a vaccine designed to treat breast cancer appeared to be safe in women with advanced disease and showed signs of actually slowing down tumors, u.s. researchers reported on friday.dendreon"
"as the lights went down at the nearly sold-out house of blues on saturday, robert johnson's 1936 delta blues “cross roads” came up, and 19-year-old jake bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. “definitely not the radio,” said 17-year-old stoneham resident caroline thompson when asked how she'd learned about the english singer-songwriter, whose 2012 debut topped the uk charts but never broke the us top 40.","as the lights went down at the nearly sold-out house of blues on saturday, robert johnson's 1936 delta blues “cross roads” came up, and 19-year-old jake bugg ambled onto the darkened stage with his two bandmates, greeted by shrieks from all sides. with his fetching mop top and boyish charm, this jb comes off like the anti-pop justin beiber, reviving rock ’n’ roll as sincere but sexy folk music for the long-tailed digital age. to promote his second album, “shagri la,” bugg has performed in boston several times recently, at successively larger venues. at the 2,400-capacity house of blues, the bassist and drummer planted themselves at either end of the large stage and bugg took the center, clutching a classical acoustic guitar. from the opening dylan-esque word-spree “there's a beast and we all feed it,” the singer's evident absorption in the music captivated the notably diverse crowd, and he won cheers simply by wandering here or glancing there."
"the custody battle of robert de niro and estranged wife grace hightower is getting rough. when he came back up, grace slugged him in the ribs. "" a friend of hightower says she has alleged that de niro's lifestyle is too wild and has insisted that elliott be accompanied on visits by hightower, a nanny or a teacher. manhattan supreme court judge judith gische shot down the motion this week, putting the matter over until a conference july 24. the two women were wearing bathing suits and carrying life jackets. "" freeman, they said, was wanted for a probation violation; mathers was accused of skipping court on a misdemeanor charge of disturbing the peace. hackel said a small container of white powder was found in the back of the patrol car in which mathers and freeman had been riding. i'm afraid that in the future we will get many stupid answers from him,"" the actor speculated. while he was at it, redford also took aim at bush's political advisers. "" seen on the seine sean (puffy) combs stepped out again with model emma hemming last weekend in paris. "" working out on the dance floor were paris and nicky hilton (scotching rumors that they were in lizzie grubman's suv when it hit 16 people last weekend).","t he custody battle of robert de niro and estranged wife grace hightower
   is getting rough. the ""raging bull"" star is claiming that hightower flew
   into a jealous rage and pummeled him during a sailing trip with salsa star
   marc anthony, sources tell us.
   the astonishing spectacle occured in may, when de niro and hightower were on anthony's yacht in florida with their 3-year-old son,"
"nikki reed in twilight and ian somerhalder in the vampire diaries

by nate jones & alison schwartz

updated 08/01/2014 at 02:45 pm edt

the recent revelations that ian somerhalder of

has thrown us into a tizzy. here are two actors, from two completely different vampire franchises, dating and doing romance stuff – as if someone had turned fan fiction into real life. we know they've got sparks in real life, but would they still work on screen? in the hug-happy world of

, part-time record producer crosby is a lovable mess, but compared to some of veronica's exes, he's the very picture of stability.","we know these couples have sparks in real life, but would they still work on screen?"
"vivian boyack, 91, and alice “nonie” dubes, 90, have married after 72 years together. ( vivian boyack and alice ""nonie"" dubes grasp hands on their wedding day in davenport, iowa. ( “this is a very special day for all of us.”",two women in their 90&rsquo;s have married in a ceremony in the us after 72 years together.
how does an android 2.1 qwerty slider with unlimited texts and internet for $25/month after taxes sound to you? virgin mobile offers the best smartphone plan i’ve ever seen…by a long shot. but it is a working android 2.1 phone with gps and most of the midrange features you’ll find from other carriers and manufacturers. but certainly not a dealbreaker at $25/month. the reps i spoke to didn’t rule it out for the future but there are no current plans to do this.,"how does an android 2.1 qwerty slider with unlimited texts and internet for $25/month after taxes sound to you? virgin mobile offers the best smartphone plan i've ever seen...by a long shot.  if you pay the full price ($249) for a cheaper samsung intercept phone, you can jump on virgin mobile's $25/month everything pre-paid with…"
"david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). as the leader of gf's work in technology, he guides programmes that create innovative and sustainable approaches to employing technology for the benefit of the world's poor.","david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). as the leader of gf's work in technology, he guides programmes that create innovative and sustainable approaches to employing technology for the benefit of the world's poor. this includes efforts to develop services that can be widely accessed on mobile phones, in domains such as health and agriculture, to improve lives and livelihoods. it also encompasses efforts in technology for microfinance, enabling the poor to transfer funds using mobile"
"david is director of the grameen foundation technology centre and vice president of technology programmes at grameen foundation (gf). as the leader of gf's work in technology, he guides programmes that create innovative and sustainable approaches to employing technology for the benefit of the world's poor.","the miami dolphins are the top team in professional football, according to the new york times's first computer ranking of the season. after the dolphins come the philadelphia eagles and the dallas cowboys, the league's two other undefeated teams.   the ranking is determined by a formula in which each game is analyzed as to who won and lost, by what margin and how strong the teams were according to their past performances. further, recent games a team has played carry more weight than earlier results."
"san salvador, march 4— president jose napoleon duarte of el salvador said today that no ''preparations'' had been made for negotiations with the leaders of the leftist guerrillas. the concern over a coup was raised yesterday when roberto d'aubuisson, a former army intelligence major who still commands the loyalty of a number of right-wing officers, denounced any negotiations between the governing junta and the leftist guerrillas and strongly hinted that a coup might be attempted this month. backing for regime voiced

the statement read by mr. chapin said: ''we support the government of el salvador in its move to implement existing reforms. d'aubuisson might be behind the attack on the embassy, mr. bullet enters embassy

today's shooting occurred at about 11 a.m., when a gray pickup truck with four men in the double cab came around a landscaped traffic circle at a corner of the embassy. no fire was returned and the truck continued around the circle and left. chapin, in private meetings since his arrival, has been urging military and business leaders to back the junta. illustrations: photo of jose napoleon duarte","president jose napoleon duarte of el salvador said today that no ''preparations'' had been made for negotiations with the leaders of the leftist guerrillas.   sources close to the president said that a trip to west germany he had planned for the weekend had been canceled, apparently out of fear of a right-wing coup.   at the same time, the united states embassy issued a statement opposing any attempt at a coup. the comment came after the embassy was the target of shots fired from a passing truck."
"a yearlong study by the community service society of new york has concluded that the problem of homeless people on the streets of the city has ''reached such extraordinary proportions'' that emergency housing must be set up. the homeless are found in almost every part of the city. sometimes they are seen shuffling along the streets or crouched in doorways seeking temporary shelter from wind and rain. ''advocacy groups do not think there is any limit on the amount of money government can spend,'' he said. '' she said she had had such bad luck and that with rents so high, she couldn't afford both a place to stay and food to eat. in some cases, they said, buildings had been burned down to drive out tenants.","a yearlong study by the community service society of new york has concluded that the problem of homeless people on the streets of the city has ''reached such extraordinary proportions'' that emergency housing must be set up.   the study, to be made public tomorrow, says government agencies have failed to face the problem of the homeless and have made it even worse with the state's program of discharging many patients from mental institutions into communities.   the homeless are found in almost every part of the city. sometimes they are seen shuffling along the streets or crouched in doorways seeking temporary shelter from wind and rain. they inhabit the bus and railroad stations and subways until they are chased away by the police."
"bonn at the economic summit meeting of western leaders here in 1978, west germany staunchly resisted calls for it to use its head of economic steam like a locomotive to tug europe's lagging economies out of the recession that the oil crisis of 1974 had induced. by the end of 1980, however, germany's politicians and industrialists would have been flattered if anyone had asked them to play locomotive. consumer spending eased as energy costs rose. by year end, the mark's relatively low value was making imports more costly, lifting the inflationary spiral in germany again, but doing little to stem the decline in exports caused by worldwide recession. in october, bonn's minister of economics, otto lambsdorff, predicted economic growth in 1981 would be between zero and 1 percent. and in a survey, economists at the commerzbank, the country's third-largest commercial bank, said consumer buying was likely to stagnate in 1981, as tax cuts promised by the government for early in the year are offset by rising social security payments. government pump-priming will be out of the question, the survey said, and unemployment will go up to about 4.8 percent.","bonn at the economic summit meeting of western leaders here in 1978, west germany staunchly resisted calls for it to use its head of economic steam like a locomotive to tug europe's lagging economies out of the recession that the oil crisis of 1974 had induced.   by the end of 1980, however, germany's politicians and industrialists would have been flattered if anyone had asked them to play locomotive. with the cost of oil still climbing and europe's economies locked in another downturn, west germany, too, had run out of steam and its leaders were becoming increasingly pessimistic about 1981.   most people remain convinced that germany is still one of the line's heavier pieces of rolling stock, but they also have came to realize that it is not immune to the economic difficulties that plague other industrialized nations."
"the new broadway season is barely out of the starting gate, but it's not a minute too early to start thinking about contenders for next season. raposo have been working on ''it's a wonderful life'' for nearly two years, but not solidly. '' harold defelice and louis scheeder, the producers, plan to open ''how i got that story'' off broadway in early december. scardino is now in previews with jeffrey moss's new musical ''double feature,'' due to open on oct. and now, as the leader of a women's assertiveness training group in barbara schottenfeld's musical ''i can't keep running in place,'' miss o'hara is encouraging other women to stand up for themselves. the first lawyers i talked to said we didn't have a case. the landlord settled with us for $27,000 out of court. what i have learned from that experience!'' when i first heard about the role, i didn't think i'd like it,'' she says. '' i don't think the theater should be used to exploit political causes. i've done several broadway-bound shows th at folded and didn't come in,'' she notes. '' there is a lot of luc k in this business. i have a few other stories like that, unfortunately.'' the cast is currently headed by derin altay as eva peron, james stein as che guevera and david cryer as juan peron. ...","the new broadway season is barely out of the starting gate, but it's not a minute too early to start thinking about contenders for next season. that is what sheldon harnick and joseph raposo are doing. they are working on a musical adaptati on of ''it's a wonderfullife,'' frank capra's 1946 film that starred james stewart as an amiable chap who is foiled in his attempt to break out of his smalltown life. mr. harnick is writing the bo ok and lyrics, and mr.  raposo, the music. the producers are mary jo slater and eugene wolsk.   mr. harnick, the lyricist for ''fiddler on the roof,'' reports that he and mr. raposo have been working on ''it's a wonderful life'' for nearly two years, but not solidly. ''in the midst of it,'' he says, ''i got an assignment from the houston grand opera to do 'carmen.' it opened last january. and joe did the score for 'the great muppet caper' movie.''   mr. harnick has also been working on another new musical, ''a christmas carol,'' which will open in wilmington, del., in november with richard kiley as scrooge. after that, he and mr. raposo will give their full attention to ''it's a wonderful life.'' theoretically, mr. harnick could have two shows on broadway next season, for ''a christmas carol'' is scheduled to tour the country for a year and then open in new york."
"25— arlington park race officials denied today published reports that an influenza virus was spreading through the track's barns and might affect sunday's running of the arlington million. in new york, officials of the offtrack betting corporation announced that shops would take bets on the race saturday and sunday.",arlington park race officials denied today published reports that an influenza virus was spreading through the track's barns and might affect sunday's running of the arlington million.
"east rutherford youngsters squealed with laughter as the first contingent of clowns chased each other in mock fury to the accompaniment of the circus band. within moments, spotlights illuminated the entrance as the elephants, trunk to tail, lumbered into the arena. i was young, single and with no obligations. logging nearly 1,000 performances in more than 40 cities since the middle of january, the performers will get a few weeks off after their next engagement at the nassau county veterans memorial coliseum in uniondale, l.i. it's hard work and we're all exhausted,'' said wally naghtin, ''but let's face it. artists, stagehands and animal keepers - more than 300 travel with the circus from city to city - were nearly unanimous in their praise of the new arena and said they hoped the new jersey engagement would become an annual event. ''i'll tell you one thing: this beats going to new york city for the circus by a country mile.'' illustrations: photo of dogs performing at ringling bros.","east rutherford youngsters squealed with laughter as the first contingent of clowns chased each other in mock fury to the accompaniment of the circus band. minutes later, they sat in awe as the full circus cast took center stage.   this was the 111th edition of the ringling brothers and barnum & bailey circus and it was the first time the circus had given regularly scheduled performances in new jersey. the run, at the brendan t. byrne arena here, will end tuesday."
"by christopher lehmann-haupt how life imitates the world series. it is commonplace, but essential, to note that the longest home runs, the best outfield catches, the grandest infield pirouettes are almost always displayed in batting practice. and if, as an undergraduate at amherst, you happen to have beaten david eisenhower for the college stickball championship, you are obliged to come up with a better punch line than ''i always said you couldn't learn real stickball on the south lawn.'' orioles all the way to however far he gets in professional baseball. boswell's description of two husbands having to separate their scrapping wives? might bill veeck not best be described as ''the man in chicago who danced with his wife,'' his beloved counselor and helpmeet, mary frances? this ought to settle one long-simmering hot-stove-league debate. actually, i'm only kidding, or indulging a rooting bias.","by christopher lehmann-haupt how life imitates the world series. by thomas boswell. 296 pages. doubleday. $14.95.   you could say that thomas boswell's ''how life imitates the world series'' is an obvious sort of baseball book because its pieces answer many of the questions that seem obvious to anyone who follows the game closely. why do the baltimore orioles win more games than any other team? (short answer: they have earl weaver to manage them.) why did bill veeck used to consume four packs of cigarettes and a case of beer a day? (with oscar wilde, he believed that ''the only way to get rid of a temptation is to yield to it.'')"
"the latest advertising incursion into previous ad-free areas of print is the sponsored comic strip, according to editor & publisher. the latter has as sponsor lethco sales, a buick dealer, who reports some comment.","the latest advertising incursion into previous ad-free areas of print is the sponsored comic strip, according to editor & publisher."
"also: microsoft may back dell buyout; reid hoffman on hiring a “professional” ceo. microsoft may back dell buyout [the new york times]

if completed, a buyout of dell would be the largest leveraged buyout since the financial crisis, reaching levels unseen since the takeovers of hilton hotels and the texas energy giant txu. keep your blu-rays and dvds, hollywood — i’ve gone digital [cnet]

all this hassle and for what? the end of an era: intel’s desktop motherboard business to ramp down over next 3 years [anandtech]

it’s not too tough to understand why intel would want to wind down its desktop motherboard business. sign up now to get today in tech emailed every morning.","also: microsoft may back dell buyout; reid hoffman on hiring a ""professional"" ceo.  the no-hire paper trail steve jobs and eric schmidt didn't want you to see [the verge] in his statement, colligan says he received a call from jobs in august of 2007, expressing concern about palm’s hiring of apple employees. he goes on to…"
"san francisco--(business wire)-- gap inc. ( on a constant currency basis, august 2015 net sales were flat compared with last year. ’s sales performance is available by calling 1-800-gap-news (1-800-427-6397). products are available for purchase in more than 90 countries worldwide through about 3,300 company-operated stores, over 400 franchise stores, and e-commerce sites.","san francisco---- gap inc. today reported that net sales for the four-week period ended august 29, 2015 decreased 3 percent to $1.20 billion compared with net sales of $1.23 billion for the four-week period ended august 30, 2014. on a constant currency basis, august 2015 net sales were flat compared with last year. “we’ re pleased that old navy delivered another..."
"ingeñuity is a content and experiential event firm that creates, designs and produces groundbreaking signature platforms connecting the world's most recognizable brands to people experiences, the three founders announced today. corporate brands working with ingeñuity created or produced content and events are macy's, southwest airlines and the los angeles times to name a few. view source version on businesswire.com: http://www.businesswire.com/news/home/20150827005208/en/

the lippin group for ingeñuityelina adut, 323-965-1990jennifer price, 323-965-1990","new branded content& experiential agency unites corporate pioneer sol trujillo with latinpointe’ s david and sarah chavez. ingeñuity to launch a series of ""people-connecting"" platforms including a national speakers bureau and a multi-city tour with soledad o'brien. kansas city, kan.---- in a move reflective of the changing demographics where the power of..."
"sept 1 (reuters) - twenty-first century fox inc's fox news channel scored the highest prime-time ratings among all basic cable television networks in august, according to nielsen data, led by the republican presidential candidates' debate and anchor megyn kelly's ""the kelly file.""","sept 1- twenty-first century fox inc's fox news channel scored the highest prime-time ratings among all basic cable television networks in august, according to nielsen data, led by the republican presidential candidates' debate and anchor megyn kelly's ""the kelly file."" fox news channel's total viewers rose 34 percent to average roughly 2.4 million from a year..."
